"Federal provinces";"Incidence men and women";"Incidence men";"Incidence women";"Mortality men and women";"Mortality men";"Mortality women"
"Austria";"46518";"24697";"21821";"20906";"11374";"9532"
"Burgenland";"1747";"950";"797";"787";"464";"323"
"Carinthia";"3827";"2101";"1726";"1512";"832";"680"
"Lower Austria";"9517";"5191";"4326";"4426";"2485";"1941"
"Upper Austria";"7961";"4347";"3614";"3403";"1866";"1537"
"Salzburg";"2620";"1390";"1230";"1187";"629";"558"
"Styria";"6963";"3734";"3229";"3244";"1752";"1492"
"Tyrol";"3805";"2031";"1774";"1547";"804";"743"
"Vorarlberg";"1942";"1033";"909";"775";"436";"339"
"Vienna";"8136";"3920";"4216";"4025";"2106";"1919"
